study_accession,sample_accession,sample_name,run_accession,read_count,fastq_ftp
PRJEB1786,SAMEA1906559,472,ERR260177,21463357,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260177/ERR260177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260177/ERR260177_2.fastq.gz
PRJEB1786,SAMEA1906553,476,ERR260178,25613808,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260178/ERR260178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260178/ERR260178_2.fastq.gz
PRJEB1786,SAMEA1906442,478,ERR260179,20891133,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260179/ERR260179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260179/ERR260179_2.fastq.gz
PRJEB1786,SAMEA1906431,479,ERR260180,15971316,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260180/ERR260180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260180/ERR260180_2.fastq.gz
PRJEB1786,SAMEA1906479,483,ERR260181,24822835,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260181/ERR260181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260181/ERR260181_2.fastq.gz
PRJEB1786,SAMEA1906455,484,ERR260182,21872053,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260182/ERR260182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260182/ERR260182_2.fastq.gz
PRJEB1786,SAMEA1906534,487,ERR260183,22877682,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260183/ERR260183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260183/ERR260183_2.fastq.gz
PRJEB1786,SAMEA1906498,488,ERR260184,21515297,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260184/ERR260184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260184/ERR260184_2.fastq.gz
PRJEB1786,SAMEA1906523,495,ERR260185,21123659,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260185/ERR260185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260185/ERR260185_2.fastq.gz
PRJEB1786,SAMEA1906495,497,ERR260186,19912787,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260186/ERR260186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260186/ERR260186_2.fastq.gz
PRJEB1786,SAMEA1906468,51,ERR260187,10653221,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260187/ERR260187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260187/ERR260187_2.fastq.gz
PRJEB1786,SAMEA1906444,517,ERR260188,20707622,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260188/ERR260188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260188/ERR260188_2.fastq.gz
